,모델명,화면크기,무게,CPU,그래픽,RAM,SSD,최저가,등록년월,평점,댓글개수,브랜드,인기,출시 연도
0,삼성전자 갤럭시북5 프로 NT940XHA-K51A,14.0,1.23,코어 울트라5,내장그래픽,16,256,1660000,2025.01.,4.9,765,삼성전자,3748.5000000000005,2025
1,LG전자 2025 그램 프로16 16Z90TP-KD7WK,16.0,1.199,코어 울트라7,내장그래픽,32,1024,2206940,2025.01.,4.9,399,LG전자,1955.1000000000001,2025
2,LG전자 2025 그램 프로16 16Z90TS-GS50K,16.0,1.239,코어 울트라5,내장그래픽,16,256,1578420,2025.01.,4.9,142,LG전자,695.8000000000001,2025
3,삼성전자 갤럭시북4 NT750XGR-A51A WIN11,15.6,1.55,코어i5-13세대,기타,16,256,824990,2024.03.,4.8,119,삼성전자,571.1999999999999,2024
4,LG전자 울트라PC 15U50T-GA5HK,15.6,1.7,코어i5-13세대,기타,16,256,670480,2024.11.,4.7,93,LG전자,437.1,2024
5,삼성전자 갤럭시북5 프로 NT960XHA-KD72G,16.0,1.56,코어 울트라7,내장그래픽,32,1024,2589970,2025.01.,4.8,6,삼성전자,28.799999999999997,2025
6,삼성전자 갤럭시북4 NT750XGR-A51A,15.6,1.55,코어i5-13세대,기타,16,256,799900,2024.03.,4.9,"7,049",삼성전자,,2024
7,LG전자 2025 그램 프로16 16Z90TS-GS5CK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1587000,2025.03.,5.0,6,LG전자,30.0,2025
8,LG전자 2025 그램15 15Z90T-GA5HK,15.6,1.29,코어 울트라5,내장그래픽,16,512,1424080,2025.01.,5.0,58,LG전자,290.0,2025
9,삼성전자 갤럭시북5 프로 NT940XHA-K71AR,14.0,1.23,코어 울트라7,내장그래픽,32,512,2120000,2025.01.,4.8,100,삼성전자,480.0,2025
10,LG전자 2025 그램15 15ZD90T-GX56K,15.6,1.29,코어 울트라5,내장그래픽,16,256,1347320,2025.01.,4.8,159,LG전자,763.1999999999999,2025
11,LG전자 울트라PC 15UD50T-GX5JK,15.6,1.7,코어i5-13세대,기타,8,256,641650,2024.10.,4.8,"2,825",LG전자,,2024
12,LG전자 울트라PC 15U50T-GROWK 16GB램,15.6,1.7,코어i5-13세대,기타,16,256,659590,2024.11.,4.8,9,LG전자,43.199999999999996,2024
13,LG전자 울트라PC 15U50T-GA5HK 32GB램,15.6,1.7,코어i5-13세대,기타,32,256,763790,2024.12.,5.0,6,LG전자,30.0,2024
14,LG전자 2025 그램14 14ZD90T-GX56K,14.0,1.12,코어 울트라5,내장그래픽,16,256,1244840,2025.01.,4.9,240,LG전자,1176.0,2025
15,LG전자 2025 그램15 15Z90T-GA5CK,15.6,1.29,코어 울트라5,내장그래픽,16,256,1373930,2025.01.,4.9,49,LG전자,240.10000000000002,2025
16,LG전자 그램15 15Z80T-GS5WK,15.6,1.29,라이젠AI 5,내장그래픽,16,512,1253720,2025.04.,4.7,27,LG전자,126.9,2025
17,LG전자 2024 그램14 14ZD90S-GX56K WIN11,14.0,1.12,코어 울트라5,내장그래픽,16,256,1099990,2024.02.,4.8,17,LG전자,81.6,2024
18,LG전자 2024 그램16 16Z90S-GAOWK,16.0,1.199,코어 울트라5,내장그래픽,16,512,1413000,2024.01.,4.9,395,LG전자,1935.5000000000002,2024
19,LG전자 그램15 15ZD90RU-GX54K,15.6,1.14,코어i5-13세대,기타,16,256,1098760,2024.11.,4.9,72,LG전자,352.8,2024
20,LG전자 2025 그램 프로17 17ZD90TP-GX79K WIN11,17.0,1.369,코어 울트라7,내장그래픽,32,256,2135550,2025.01.,,,LG전자,,2025
21,LG전자 2025 그램15 15ZD90T-GX59K,15.6,1.29,코어 울트라5,내장그래픽,32,256,1568650,2025.01.,5.0,17,LG전자,85.0,2025
22,LG전자 그램 프로17 17ZD90SP-GX56K,17.0,1.299,코어 울트라5,내장그래픽,16,256,1528280,2024.01.,4.8,168,LG전자,806.4,2024
23,삼성전자 갤럭시북5 프로H NT965XHW-A71AR,16.0,1.56,코어 울트라7,내장그래픽,32,256,2076900,2025.01.,4.7,142,삼성전자,667.4,2025
24,삼성전자 갤럭시북5 프로 NT940XHA-KP72S,14.0,1.23,코어 울트라7,내장그래픽,32,512,2190000,2025.01.,5.0,1,삼성전자,5.0,2025
25,LG전자 2025 그램 프로17 17ZD90TR-SXFBK WIN11,17.0,1.48,코어 울트라5,RTX4050,32,512,2447790,2025.09.,,,LG전자,,2025
26,LG전자 그램17 17Z90S-GP5QLF,17.0,1.35,코어 울트라5,내장그래픽,32,256,1748990,2025.03.,,,LG전자,,2025
27,"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 실버",14.2,1.55,Intelligence,기타,16,512,2318290,2025.11.,5.0,2,APPLE,10.0,2025
28,삼성전자 갤럭시북4 울트라 NT960XGL-X92A,16.0,1.86,코어 울트라9,RTX4070,32,1024,4080000,2024.02.,4.9,131,삼성전자,641.9000000000001,2024
29,LG전자 2025 그램 프로16 16Z90TP-GA5CK,16.0,1.199,코어 울트라5,내장그래픽,16,256,1553470,2025.01.,5.0,72,LG전자,360.0,2025
30,삼성전자 갤럭시북4 NT750XGR-A31A,15.6,1.55,코어i3-13세대,기타,16,256,667990,2024.04.,4.9,"6,758",삼성전자,,2024
31,LG전자 2025 그램 프로16 16Z90TR-SD7WK,16.0,1.36,코어 울트라7,RTX4050,32,1024,2577260,2025.02.,4.9,65,LG전자,318.5,2025
32,삼성전자 갤럭시북5 프로 NT960XHA-K52A,16.0,1.56,코어 울트라5,내장그래픽,32,256,1947520,2025.01.,4.9,471,삼성전자,2307.9,2025
33,LG전자 2025 그램 프로16 16Z90TS-GU7BK,16.0,1.239,코어 울트라7,내장그래픽,32,1024,2366200,2025.01.,4.9,234,LG전자,1146.6000000000001,2025
